app_country,schengen_state,year,app,total_issued,mev_issued,ltv,rejected,code_schengen,code_app,visa_free
Albania,Czechia,2015,2,2,0,0,0,CZ,AL,t
Albania,Czechia,2016,14,10,8,0,4,CZ,AL,t
Albania,Czechia,2017,13,8,3,1,4,CZ,AL,t
Albania,Czechia,2018,16,11,5,1,4,CZ,AL,t
Albania,Czechia,2019,15,7,7,0,8,CZ,AL,t
Albania,Czechia,2020,2,2,2,0,0,CZ,AL,t
Albania,Czechia,2021,7,3,0,1,3,CZ,AL,t
Albania,Denmark,2009,2724,2529,0,0,195,DK,AL,t
Albania,Denmark,2010,2203,2032,833,0,171,DK,AL,t
Albania,Denmark,2011,1066,736,60,0,71,DK,AL,t
Albania,Denmark,2012,393,273,19,0,32,DK,AL,t
Albania,Denmark,2013,107,59,8,11,10,DK,AL,t
Albania,Denmark,2014,36,21,6,9,6,DK,AL,t
Albania,France,2009,4323,3736,0,0,587,FR,AL,t
Albania,France,2010,3526,3140,611,0,386,FR,AL,t
Albania,France,2011,36,35,10,0,1,FR,AL,t
Albania,France,2012,13,12,3,0,1,FR,AL,t
Albania,France,2013,17,16,3,0,1,FR,AL,t
Albania,France,2014,33,32,11,1,0,FR,AL,t
Albania,France,2015,45,41,16,0,0,FR,AL,t
Albania,France,2016,55,44,16,0,1,FR,AL,t
Albania,France,2017,138,120,24,0,0,FR,AL,t
Albania,France,2018,137,129,43,1,2,FR,AL,t
Albania,France,2019,99,91,21,0,3,FR,AL,t
Albania,France,2020,16,8,3,0,0,FR,AL,t
Albania,France,2021,31,29,5,5,1,FR,AL,t
Albania,Germany,2009,13447,10815,0,0,2632,DE,AL,t
Albania,Germany,2010,8679,6329,1837,0,2350,DE,AL,t
Albania,Germany,2011,117,85,18,0,32,DE,AL,t
Albania,Germany,2012,45,32,12,0,13,DE,AL,t
Albania,Germany,2013,54,50,24,2,2,DE,AL,t
Albania,Germany,2014,45,43,16,0,2,DE,AL,t
Albania,Germany,2015,92,85,23,3,4,DE,AL,t
Albania,Germany,2016,74,66,60,7,1,DE,AL,t
Albania,Germany,2017,120,107,88,8,5,DE,AL,t
Albania,Germany,2018,150,107,98,24,19,DE,AL,t
Albania,Germany,2019,118,66,64,32,20,DE,AL,t
Albania,Germany,2020,29,11,11,15,3,DE,AL,t
Albania,Germany,2021,54,24,22,19,11,DE,AL,t
Albania,Greece,2009,41951,33217,0,0,8734,GR,AL,t
Albania,Greece,2010,32073,24602,13171,0,7471,GR,AL,t
Albania,Greece,2011,763,755,651,0,9,GR,AL,t
Albania,Greece,2012,695,691,517,0,4,GR,AL,t
Albania,Greece,2013,614,599,504,6,9,GR,AL,t
Albania,Greece,2014,531,515,412,11,5,GR,AL,t
Albania,Greece,2015,453,404,338,24,24,GR,AL,t
Albania,Greece,2016,388,341,230,15,32,GR,AL,t
Albania,Greece,2017,386,321,230,30,35,GR,AL,t
Albania,Greece,2018,262,211,138,10,41,GR,AL,t
Albania,Greece,2019,248,220,158,23,2,GR,AL,t
Albania,Greece,2020,58,41,32,4,0,GR,AL,t
Albania,Greece,2021,113,97,54,11,0,GR,AL,t
Albania,Hungary,2009,2414,2145,0,0,269,HU,AL,t
Albania,Hungary,2010,1822,1732,469,0,90,HU,AL,t
Albania,Hungary,2011,42,32,14,0,10,HU,AL,t
Albania,Hungary,2012,21,21,13,0,0,HU,AL,t
Albania,Hungary,2013,21,20,15,0,1,HU,AL,t
Albania,Hungary,2014,21,21,10,0,0,HU,AL,t
Albania,Hungary,2015,38,38,36,0,0,HU,AL,t
Albania,Hungary,2016,50,49,41,1,0,HU,AL,t
Albania,Hungary,2017,70,68,66,1,1,HU,AL,t
Albania,Hungary,2018,108,107,87,0,1,HU,AL,t
Albania,Hungary,2019,88,76,35,0,8,HU,AL,t
Albania,Hungary,2020,5,4,2,0,1,HU,AL,t
Albania,Italy,2009,41164,32790,0,0,8374,IT,AL,t
Albania,Italy,2010,30496,25491,15039,0,5005,IT,AL,t
Albania,Italy,2011,968,626,488,0,342,IT,AL,t
Albania,Italy,2012,568,553,417,0,15,IT,AL,t
Albania,Italy,2013,517,499,447,14,4,IT,AL,t
Albania,Italy,2014,540,516,489,19,5,IT,AL,t
Albania,Italy,2015,538,495,467,37,6,IT,AL,t
Albania,Italy,2016,498,488,463,0,10,IT,AL,t
Albania,Italy,2017,429,394,320,7,28,IT,AL,t
Albania,Italy,2018,551,513,407,15,23,IT,AL,t
Albania,Italy,2019,649,640,508,1,8,IT,AL,t
Albania,Italy,2020,198,196,84,0,2,IT,AL,t
Albania,Italy,2021,226,225,123,0,1,IT,AL,t
Albania,Netherlands,2009,115,19,0,0,96,NL,AL,t
Albania,Netherlands,2010,81,7,4,0,74,NL,AL,t
Albania,Netherlands,2011,7,7,3,0,0,NL,AL,t
Albania,Netherlands,2012,11,11,7,0,0,NL,AL,t
Albania,Netherlands,2013,3,3,2,0,0,NL,AL,t
Albania,Netherlands,2014,1,1,0,0,0,NL,AL,t
Albania,Netherlands,2019,1,0,0,1,0,NL,AL,t
Albania,Norway,2010,6,3,0,0,3,NO,AL,t
Albania,Norway,2012,6,3,0,0,3,NO,AL,t
Albania,Poland,2009,1221,1019,0,0,202,PL,AL,t
Albania,Poland,2010,1265,979,150,0,286,PL,AL,t
Albania,Poland,2011,148,5,11,0,66,PL,AL,t
Albania,Poland,2012,165,80,17,0,85,PL,AL,t
Albania,Poland,2013,89,22,7,29,38,PL,AL,t
Albania,Poland,2014,89,40,5,29,20,PL,AL,t
Albania,Poland,2015,42,1,1,16,25,PL,AL,t
Albania,Poland,2016,21,11,4,9,1,PL,AL,t
Albania,Poland,2017,41,8,5,27,6,PL,AL,t
Albania,Poland,2018,179,0,0,146,33,PL,AL,t
Albania,Poland,2019,309,249,148,75,60,PL,AL,t
Albania,Poland,2020,133,96,79,92,37,PL,AL,t
Albania,Poland,2021,90,90,53,71,0,PL,AL,t
Albania,Slovenia,2010,252,244,150,0,8,SI,AL,t
Albania,Slovenia,2011,10,10,10,0,0,SI,AL,t
Albania,Slovenia,2012,13,13,13,0,0,SI,AL,t
Albania,Slovenia,2013,22,22,22,0,0,SI,AL,t
Albania,Slovenia,2014,23,19,19,3,1,SI,AL,t
Albania,Slovenia,2015,26,4,4,22,0,SI,AL,t
Albania,Slovenia,2016,42,17,17,23,2,SI,AL,t
Albania,Slovenia,2017,27,20,19,4,3,SI,AL,t
Albania,Slovenia,2018,27,11,10,15,1,SI,AL,t
Albania,Slovenia,2019,19,4,3,15,0,SI,AL,t
Albania,Slovenia,2020,1,1,0,1,0,SI,AL,t
Albania,Slovenia,2021,1,0,0,1,0,SI,AL,t
Albania,Spain,2009,2059,1841,0,0,218,ES,AL,t
Albania,Spain,2010,2087,1835,41,0,252,ES,AL,t
Albania,Spain,2011,52,48,0,0,1,ES,AL,t
Albania,Spain,2012,29,25,1,0,3,ES,AL,t
Albania,Spain,2013,21,19,0,0,0,ES,AL,t
Albania,Spain,2014,37,33,3,0,4,ES,AL,t
Albania,Spain,2015,38,35,5,0,0,ES,AL,t
Albania,Spain,2016,87,83,8,0,1,ES,AL,t
Albania,Spain,2017,102,91,11,2,7,ES,AL,t
Albania,Spain,2018,103,83,11,7,9,ES,AL,t
Albania,Spain,2019,122,103,13,5,6,ES,AL,t
Albania,Spain,2020,21,15,11,2,0,ES,AL,t
Albania,Spain,2021,41,44,3,0,2,ES,AL,t
Albania,Switzerland,2009,1816,1594,0,0,222,CH,AL,t
Albania,Switzerland,2010,1363,1283,0,0,80,CH,AL,t
Albania,Switzerland,2011,40,40,21,0,0,CH,AL,t
Algeria,Austria,2009,743,673,0,0,70,AT,DZ,f
Algeria,Austria,2010,749,626,555,0,123,AT,DZ,f
Algeria,Austria,2011,825,712,618,0,113,AT,DZ,f
Algeria,Austria,2012,961,829,799,0,132,AT,DZ,f
Algeria,Austria,2013,1579,1337,1255,21,221,AT,DZ,f
Algeria,Austria,2014,2367,2074,2018,1,292,AT,DZ,f
Algeria,Austria,2015,2504,2212,2164,2,290,AT,DZ,f
Algeria,Austria,2016,1961,1478,1391,11,472,AT,DZ,f
Algeria,Austria,2017,2315,1658,1367,2,655,AT,DZ,f
Algeria,Austria,2018,2481,1658,1461,1,822,AT,DZ,f
Algeria,Austria,2019,2398,1814,1457,3,584,AT,DZ,f
Algeria,Austria,2020,457,358,253,0,99,AT,DZ,f
Algeria,Austria,2021,596,331,111,0,265,AT,DZ,f
Algeria,Belgium,2009,4493,3076,0,0,1417,BE,DZ,f
Algeria,Belgium,2010,4751,3142,1352,0,1609,BE,DZ,f
Algeria,Belgium,2011,5086,3911,1663,0,1175,BE,DZ,f
Algeria,Belgium,2012,4934,3008,1269,0,1742,BE,DZ,f
Algeria,Belgium,2013,5022,3423,1374,383,1201,BE,DZ,f
Algeria,Belgium,2014,5234,3835,1431,314,1202,BE,DZ,f
Algeria,Belgium,2015,4863,3082,1642,179,1379,BE,DZ,f
Algeria,Belgium,2016,4526,2883,1378,110,1423,BE,DZ,f
Algeria,Belgium,2017,5665,2953,1327,200,2137,BE,DZ,f
Algeria,Belgium,2018,6901,3802,2007,307,2480,BE,DZ,f
Algeria,Belgium,2019,7449,4268,2521,146,2839,BE,DZ,f
Algeria,Belgium,2020,1592,591,394,25,708,BE,DZ,f
Algeria,Belgium,2021,1208,615,529,5,267,BE,DZ,f
Algeria,Czechia,2009,578,287,0,0,291,CZ,DZ,f
Algeria,Czechia,2010,844,561,129,0,283,CZ,DZ,f
Algeria,Czechia,2011,834,498,113,0,336,CZ,DZ,f
Algeria,Czechia,2012,993,688,186,0,305,CZ,DZ,f
Algeria,Czechia,2013,1003,706,207,6,291,CZ,DZ,f
Algeria,Czechia,2014,1006,666,205,7,333,CZ,DZ,f
Algeria,Czechia,2015,964,744,239,5,215,CZ,DZ,f
Algeria,Czechia,2016,1000,727,173,0,271,CZ,DZ,f
Algeria,Czechia,2017,1352,777,236,1,574,CZ,DZ,f
Algeria,Czechia,2018,996,537,168,0,458,CZ,DZ,f
Algeria,Czechia,2019,893,512,148,0,381,CZ,DZ,f
Algeria,Czechia,2020,152,63,4,0,89,CZ,DZ,f
Algeria,Czechia,2021,75,45,15,0,30,CZ,DZ,f
Algeria,Denmark,2009,671,623,0,0,48,DK,DZ,f
Algeria,Denmark,2010,482,427,336,0,55,DK,DZ,f
Algeria,Denmark,2011,5,1,1,0,4,DK,DZ,f
Algeria,Denmark,2012,2,0,0,0,0,DK,DZ,f
Algeria,Denmark,2013,3,0,0,0,3,DK,DZ,f
Algeria,Denmark,2014,2,0,0,0,0,DK,DZ,f
Algeria,Denmark,2015,1,0,0,0,0,DK,DZ,f
Algeria,Finland,2012,219,169,66,0,50,FI,DZ,f
Algeria,Finland,2013,463,315,120,0,148,FI,DZ,f
Algeria,Finland,2014,426,298,116,3,125,FI,DZ,f
Algeria,Finland,2015,572,402,150,3,161,FI,DZ,f
Algeria,Finland,2016,663,443,153,1,216,FI,DZ,f
Algeria,Finland,2017,1152,449,161,0,691,FI,DZ,f
Algeria,Finland,2018,1307,456,171,0,848,FI,DZ,f
Algeria,Finland,2019,703,476,144,1,217,FI,DZ,f
Algeria,Finland,2020,101,45,15,0,56,FI,DZ,f
Algeria,Finland,2021,73,20,6,0,40,FI,DZ,f
Algeria,France,2009,186883,120345,0,0,66538,FR,DZ,f
Algeria,France,2010,184014,125934,28992,0,58080,FR,DZ,f
Algeria,France,2011,207439,154180,46956,0,53259,FR,DZ,f
Algeria,France,2012,260721,199380,69073,0,61341,FR,DZ,f
Algeria,France,2013,300862,221556,81414,206,79100,FR,DZ,f
Algeria,France,2014,426814,324426,109728,88,102300,FR,DZ,f
Algeria,France,2015,554313,410526,162730,333,142814,FR,DZ,f
Algeria,France,2016,576721,396435,162730,221,151879,FR,DZ,f
Algeria,France,2017,606611,396889,115591,296,217513,FR,DZ,f
Algeria,France,2018,544585,280963,65817,252,265143,FR,DZ,f
Algeria,France,2019,478678,258595,57039,162,220718,FR,DZ,f
Algeria,France,2020,91102,63366,17443,137,36314,FR,DZ,f
Algeria,France,2021,88552,44032,23969,40,31955,FR,DZ,f
Algeria,Germany,2009,6454,4952,0,0,1502,DE,DZ,f
Algeria,Germany,2010,5471,3914,527,0,1557,DE,DZ,f
Algeria,Germany,2011,5130,3314,598,0,1816,DE,DZ,f
Algeria,Germany,2012,5041,3751,613,0,1290,DE,DZ,f
Algeria,Germany,2013,5819,4221,529,4,1594,DE,DZ,f
Algeria,Germany,2014,5967,4487,375,2,1478,DE,DZ,f
Algeria,Germany,2015,6060,4545,530,0,1515,DE,DZ,f
Algeria,Germany,2016,5668,3919,1093,22,1727,DE,DZ,f
Algeria,Germany,2017,5354,4012,1610,24,1318,DE,DZ,f
Algeria,Germany,2018,5301,4077,1219,24,1200,DE,DZ,f
Algeria,Germany,2019,7209,4818,882,23,2368,DE,DZ,f
Algeria,Germany,2020,4097,1370,216,70,2657,DE,DZ,f
Algeria,Germany,2021,2428,619,386,1,1084,DE,DZ,f
Algeria,Greece,2009,3262,1819,0,0,1443,GR,DZ,f
Algeria,Greece,2010,1596,641,120,0,955,GR,DZ,f
Algeria,Greece,2011,1446,847,156,0,596,GR,DZ,f
Algeria,Greece,2012,917,622,135,0,291,GR,DZ,f
Algeria,Greece,2013,969,661,129,1,303,GR,DZ,f
Algeria,Greece,2014,1099,718,172,0,381,GR,DZ,f
Algeria,Greece,2015,1063,734,208,2,326,GR,DZ,f
Algeria,Greece,2016,1692,734,151,0,958,GR,DZ,f
Algeria,Greece,2017,2609,809,149,0,1800,GR,DZ,f
Algeria,Greece,2018,2692,1018,161,0,1674,GR,DZ,f
Algeria,Greece,2019,2407,843,151,0,1543,GR,DZ,f
Algeria,Greece,2020,334,134,16,0,132,GR,DZ,f
Algeria,Greece,2021,59,33,22,0,17,GR,DZ,f
Algeria,Hungary,2009,376,197,0,0,179,HU,DZ,f
Algeria,Hungary,2010,420,197,81,0,223,HU,DZ,f
Algeria,Hungary,2011,446,224,98,0,222,HU,DZ,f
Algeria,Hungary,2012,535,300,77,0,235,HU,DZ,f
Algeria,Hungary,2013,602,303,107,0,299,HU,DZ,f
Algeria,Hungary,2014,515,325,116,0,190,HU,DZ,f
Algeria,Hungary,2015,472,330,124,0,142,HU,DZ,f
Algeria,Hungary,2016,930,489,147,4,437,HU,DZ,f
Algeria,Hungary,2017,3102,1111,242,2,1989,HU,DZ,f
Algeria,Hungary,2018,2713,971,223,0,1742,HU,DZ,f
Algeria,Hungary,2019,2099,743,209,3,1208,HU,DZ,f
Algeria,Hungary,2020,237,83,24,0,141,HU,DZ,f
Algeria,Hungary,2021,159,124,32,0,33,HU,DZ,f
Algeria,Italy,2009,8154,6725,0,0,1429,IT,DZ,f
Algeria,Italy,2010,7374,5870,2935,0,1504,IT,DZ,f
Algeria,Italy,2011,8378,6999,3380,0,1379,IT,DZ,f
Algeria,Italy,2012,10139,8126,4965,0,2013,IT,DZ,f
Algeria,Italy,2013,19778,13161,9428,408,6209,IT,DZ,f
Algeria,Italy,2014,24313,15606,10361,430,8277,IT,DZ,f
Algeria,Italy,2015,23835,16160,12647,363,7312,IT,DZ,f
Algeria,Italy,2016,28376,16378,11059,384,11614,IT,DZ,f
Algeria,Italy,2017,30010,17571,11758,339,12100,IT,DZ,f
Algeria,Italy,2018,23464,13958,8600,321,9185,IT,DZ,f
Algeria,Italy,2019,21130,12915,8172,237,7978,IT,DZ,f
Algeria,Italy,2020,4318,2288,1516,7,2023,IT,DZ,f
Algeria,Italy,2021,3593,2898,2751,15,680,IT,DZ,f
Algeria,Malta,2009,1329,943,0,0,386,MT,DZ,f
Algeria,Malta,2014,6649,3021,478,79,3098,MT,DZ,f
Algeria,Malta,2015,10455,3552,410,8,6786,MT,DZ,f
Algeria,Malta,2016,3122,505,167,0,2559,MT,DZ,f
Algeria,Malta,2017,5029,405,144,1,4615,MT,DZ,f
Algeria,Malta,2018,3717,433,148,3,3226,MT,DZ,f
Algeria,Malta,2019,2710,361,138,0,2345,MT,DZ,f
Algeria,Malta,2020,353,50,13,0,301,MT,DZ,f
Algeria,Malta,2021,1,0,0,0,0,MT,DZ,f
Algeria,Netherlands,2009,1395,1072,0,0,323,NL,DZ,f
Algeria,Netherlands,2010,1458,1153,503,0,305,NL,DZ,f
Algeria,Netherlands,2011,1396,1192,488,0,197,NL,DZ,f
Algeria,Netherlands,2012,1408,1147,527,0,251,NL,DZ,f
Algeria,Netherlands,2013,1203,1047,560,4,151,NL,DZ,f
Algeria,Netherlands,2014,1318,1183,892,2,126,NL,DZ,f
Algeria,Netherlands,2015,1671,1459,1359,5,176,NL,DZ,f
Algeria,Netherlands,2016,1772,1356,1350,8,338,NL,DZ,f
Algeria,Netherlands,2017,5668,2297,2295,6,3236,NL,DZ,f
Algeria,Netherlands,2018,5861,2714,2166,28,3485,NL,DZ,f
Algeria,Netherlands,2019,5754,2425,1391,10,3184,NL,DZ,f
Algeria,Netherlands,2020,1440,591,252,6,805,NL,DZ,f
Algeria,Netherlands,2021,310,232,187,0,59,NL,DZ,f
Algeria,Norway,2009,201,217,0,0,-16,NO,DZ,f
Algeria,Norway,2010,343,248,136,0,95,NO,DZ,f
Algeria,Norway,2011,584,450,265,0,134,NO,DZ,f
Algeria,Norway,2012,343,248,136,0,95,NO,DZ,f
Algeria,Norway,2013,807,620,317,0,187,NO,DZ,f
Algeria,Norway,2014,806,636,364,0,170,NO,DZ,f
Algeria,Norway,2015,469.0000000000001,418,227,1,50,NO,DZ,f
Algeria,Norway,2016,375,309,114,1,65,NO,DZ,f
Algeria,Norway,2017,745,400,157,0,345,NO,DZ,f
Algeria,Norway,2018,379,188,76,1,190,NO,DZ,f
Algeria,Norway,2019,395,211,101,3,181,NO,DZ,f
Algeria,Norway,2020,0,0,0,6,0,NO,DZ,f
Algeria,Norway,2021,1,1,1,0,0,NO,DZ,f
Algeria,Poland,2009,469,237,0,0,232,PL,DZ,f
Algeria,Poland,2010,639,472,93,0,167,PL,DZ,f
Algeria,Poland,2011,1313,1050,399,0,263,PL,DZ,f
Algeria,Poland,2012,1237,939,363,0,298,PL,DZ,f
Algeria,Poland,2013,1541,1198,477,2,341,PL,DZ,f
Algeria,Poland,2014,1613,1189,508,2,422,PL,DZ,f
Algeria,Poland,2015,1820,1373,572,0,447,PL,DZ,f
Algeria,Poland,2016,2048,1414,412,1,633,PL,DZ,f
Algeria,Poland,2017,2401,1386,564,2,1013,PL,DZ,f
Algeria,Poland,2018,2611,1520,508,4,1087,PL,DZ,f
Algeria,Poland,2019,2823,1700,649,2,1123,PL,DZ,f
Algeria,Poland,2020,547,314,182,0,231,PL,DZ,f
Algeria,Poland,2021,165,124,64,0,22,PL,DZ,f
Algeria,Portugal,2009,758,607,0,0,151,PT,DZ,f
Algeria,Portugal,2010,825,607,252,0,218,PT,DZ,f
Algeria,Portugal,2011,820,680,307,0,140,PT,DZ,f
Algeria,Portugal,2012,1023,842,461,0,181,PT,DZ,f
Algeria,Portugal,2013,1578,1311,629,115,152,PT,DZ,f
Algeria,Portugal,2014,2438,2033,780,137,268,PT,DZ,f
Algeria,Portugal,2015,2963,2187,625,263,513,PT,DZ,f
Algeria,Portugal,2016,3152,2209,420,234,709,PT,DZ,f
Algeria,Portugal,2017,2639,1828,384,105,706,PT,DZ,f
Algeria,Portugal,2018,2513,1555,448,184,774,PT,DZ,f
Algeria,Portugal,2019,2960,1341,440,96,1523,PT,DZ,f
Algeria,Portugal,2020,834,282,107,0,552,PT,DZ,f
Algeria,Portugal,2021,128,87,72,0,41,PT,DZ,f
Algeria,Spain,2009,46823,24866,0,0,21957,ES,DZ,f
Algeria,Spain,2010,50769,28638,6661,0,22131,ES,DZ,f
Algeria,Spain,2011,73624,42196,14135,0,25262,ES,DZ,f
